категория;ПРОДУКТ;ВОДА;БЕЛКИ;ЖИРЫ;УГЛЕВОДЫ;ККАЛ;сырой/готовый
ФРУКТЫ И ЯГОДЫ;Ананас;86.0;0.4;-;11.8;48.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Бананы;74.0;1.5;-;22.4;91.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Вишня;85.5;0.8;-;11.3;49.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Гранат;85.0;0.9;-;11.8;52.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Груша;87.5;0.4;-;10.7;42.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Инжир;83.0;0.7;-;13.9;56.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Персики;86.5;0.9;-;10.4;44.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Слива садовая;87.0;0.8;-;9.9;43.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Финики;20.0;2.5;-;72.1;281.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Хурма;81.5;0.5;-;15.9;62.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Черешня;85.0;1.1;-;12.3;52.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Яблоки;86.5;0.4;-;11.3;46.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Апельсин;87.5;0.9;-;8.4;38.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Грейпфрут;89.0;0.9;-;7.3;35.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Лимон;87.7;0.9;-;3.6;31.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Мандарин;88.5;0.8;-;8.6;38.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Виноград;80.2;0.4;-;17.5;69.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Ежевика;88.0;2.0;-;5.3;33.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Земляника;84.5;1.8;-;8.1;41.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Клюква;89.5;0.5;-;4.8;28.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Крыжовник;85.0;0.7;-;9.9;44.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Малина;87.0;0.8;-;9.0;41.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Смородина белая;86.0;0.3;-;8.7;39.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Смородина черная;85.0;1.0;-;8.0;40.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Черника;86.5;1.1;-;8.6;40.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Шиповник свежий;66.0;1.6;-;24.0;101.0;СЫРОЙ ВИД
ФРУКТЫ И ЯГОДЫ;Шиповник сушеный;14.0;4.0;-;60.0;253.0;СЫРОЙ ВИД
СУХОФРУКТЫ;Урюк;18.0;5.0;-;67.5;278.0;СЫРОЙ ВИД
СУХОФРУКТЫ;Курага;20.2;5.2;-;65.9;272.0;СЫРОЙ ВИД
СУХОФРУКТЫ;Изюм с косточкой;19.0;1.8;-;70.9;276.0;СЫРОЙ ВИД
СУХОФРУКТЫ;Изюм кишмиш;18.0;2.3;-;71.2;279.0;СЫРОЙ ВИД
СУХОФРУКТЫ;Вишня;18.0;1.5;-;73.0;292.0;СЫРОЙ ВИД
СУХОФРУКТЫ;Груша;24.0;2.3;-;62.1;246.0;СЫРОЙ ВИД
СУХОФРУКТЫ;Персики;18.0;3.0;-;68.5;275.0;СЫРОЙ ВИД
СУХОФРУКТЫ;Чернослив;25.0;2.3;-;65.6;264.0;СЫРОЙ ВИД
СУХОФРУКТЫ;Яблоки;20.0;3.2;-;68.0;273.0;СЫРОЙ ВИД
ГРИБЫ;Белые свежие;89.9;3.2;0.7;1.6;25.0;СЫРОЙ ВИД
ГРИБЫ;Подберезовики свежие;91.6;2.3;0.9;3.7;31.0;СЫРОЙ ВИД
ГРИБЫ;Подосиновики свежие;91.1;3.3;0.5;3.4;31.0;СЫРОЙ ВИД
ГРИБЫ;Шампиньоны;;4.3;1;0.1;27.0;СЫРОЙ ВИД
ГРИБЫ;Лисички;;1.5;1.1;1.0;19.0;СЫРОЙ ВИД
ГРИБЫ;Белые свежие;8.0;1.7499999999999998;4;62.5;25.0;ГОТОВЫЙ ВИД
ГРИБЫ;Подберезовики свежие;5.749999999999999;2.25;9.25;77.5;31.0;ГОТОВЫЙ ВИД
ГРИБЫ;Подосиновики свежие;8.249999999999998;1.25;8.5;77.5;31.0;ГОТОВЫЙ ВИД
ГРИБЫ;Шампиньоны;10.749999999999998;2.5;0.25;67.5;27.0;ГОТОВЫЙ ВИД
ГРИБЫ;Лисички;3.75;2.75;2.5;47.5;19.0;ГОТОВЫЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Баранина;67.6;16.3;15.3;0.0;203.0;СЫРОЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Говядина не постная;67.7;18.9;12.4;0.0;187.0;СЫРОЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Говядина постная;;22.2;7.1;;158.0;СЫРОЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Конина;72.5;20.2;7;0.0;143.0;СЫРОЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Кролик;65.3;20.7;12.9;0.0;199.0;СЫРОЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Телятина;78.0;19.7;1.2;0.0;90.0;СЫРОЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Говяжья Печень;72.9;17.4;3.1;0.0;98.0;СЫРОЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Говяжьи Почки;82.7;12.5;1.8;0.0;66.0;СЫРОЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Говяжье Вымя;72.6;12.3;13.7;0.0;173.0;СЫРОЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Говяжье Сердце;79.0;15.0;3;0.0;87.0;СЫРОЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Говяжий Язык;71.2;13.6;12.1;0.0;163.0;СЫРОЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Почки свинные;80.1;13.0;3.1;0.0;80.0;СЫРОЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Печень свинная;71.4;18.8;3.6;0.0;108.0;СЫРОЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Сердце свинное;78.0;15.1;3.2;0.0;89.0;СЫРОЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Язык свинной;66.1;14.2;16.8;0.0;208.0;СЫРОЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Гуси;49.7;16.1;33.3;0.0;364.0;СЫРОЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Индейка филе бедра;;17.39;10.18;0.0;159.75;СЫРОЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Индейка грудка;;19.2;0.58;0.0;84.0;СЫРОЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Куриная грудка;;23.6;1.9;0.4;113.0;СЫРОЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Курица филе бедра;;14.81;11.06;0.18;160.17;СЫРОЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Утки;51.5;16.5;61.2;0.0;346.0;СЫРОЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Баранина;26.2;24.6;0;327.4;203.0;ГОТОВЫЙ ВИД
МЯСО, СУБПРОДУКТЫ, ПТИЦА;Говядина не постная;30.4;20.0;0;301.6;187.0;ГОТОВЫЙ ВИД
